GLK-Class,Mercedes-Benz,2011,3542
GTI,Volkswagen,2008,2895
LeSabre,Buick,1997,1872
Dakota,Dodge,2003,4120
E-Class,Mercedes-Benz,2009,4546
Xtra,Toyota,1995,4305
MDX,Acura,2005,2890
LX,Lexus,2003,5808
Somerset,Buick,1987,2541
Rodeo,Isuzu,1999,4284
3500,Chevrolet,1992,3752
Topaz,Mercury,1993,4753
S6,Audi,2008,2553
Outback Sport,Subaru,2002,3043
Spyder,Maserati,1990,1940
928,Porsche,1987,1103
LS,Lexus,1997,5035
Corvette,Chevrolet,1995,2186
CL-Class,Mercedes-Benz,2007,2401
H2,Hummer,2005,4645
Explorer Sport,Ford,2002,3273
Cabriolet,Volkswagen,2000,3287
5 Series,BMW,2002,5022
S-Class,Mercedes-Benz,1997,4251
Tiguan,Volkswagen,2009,3039
Miata MX-5,Mazda,1997,2405
Escape,Ford,2002,2497
Escalade EXT,Cadillac,2004,5793
Catera,Cadillac,1999,1658
Tercel,Toyota,1998,2000
A4,Audi,2008,5951
Tercel,Toyota,1995,3204
Truck,Mitsubishi,1988,4670
Stanza,Nissan,1992,2273
Versa,Nissan,2010,1954
1000,Pontiac,1984,4680
Taurus,Ford,2007,4737
C-Class,Mercedes-Benz,1998,1266
100,Audi,1993,4429
LX,Lexus,2001,5696
Grand Am,Pontiac,1996,4161
LX,Lexus,2003,5454
E-Series,Ford,1987,3696
XK,Jaguar,2010,2512
X6 M,BMW,2012,4573
Z4 M,BMW,2006,1479
Sorento,Kia,2004,2149
Envoy,GMC,2009,1884
Ranger,Ford,1991,1618
LS,Lexus,2007,2194
G,Infiniti,1999,3467
i-370,Isuzu,2007,4423
Continental Mark VII,Lincoln,1991,4058
Esperante,Panoz,2008,1445
GTI,Volkswagen,1991,3021
S4,Audi,1994,3064
3 Series,BMW,1992,2860
Alcyone SVX,Subaru,1993,1207
Villager,Mercury,1995,2940
Jetta,Volkswagen,1989,1350
Daytona,Dodge,1993,2688
2500,GMC,1999,2221
Impala,Chevrolet,2010,1588
Pajero,Mitsubishi,1999,5893
Optima,Kia,2007,1648
Dakota Club,Dodge,1993,2734
3500,Ram,2011,5632
Gallardo,Lamborghini,2011,4866
Skylark,Buick,1989,1836
Ram 3500,Dodge,1995,4004
100,Audi,1990,1904
Suburban 1500,Chevrolet,2001,3563
911,Porsche,2009,5712
Corvette,Chevrolet,1985,2894
Colt Vista,Plymouth,1993,3506
DeVille,Cadillac,2002,2620
Sonoma,GMC,1998,5700
Sunbird,Pontiac,1994,5718
Ram 3500 Club,Dodge,1997,2239
Discovery Series II,Land Rover,2000,1967
Phantom,Rolls-Royce,2005,4815
XL-7,Suzuki,2008,3889
Century,Buick,1996,2462
QX,Infiniti,1998,4922
Express 1500,Chevrolet,2007,5365
Nubira,Daewoo,2000,4426
Outback,Subaru,2006,3332
Maxima,Nissan,2008,2056
Biturbo,Maserati,1985,3001
M-Class,Mercedes-Benz,2010,5357
Fleetwood,Cadillac,1995,3992
Pathfinder,Nissan,2004,4821
4Runner,Toyota,2007,3570
Type 2,Volkswagen,1986,5185
Corrado,Volkswagen,1990,3628
Avanti,Studebaker,1963,1030
E-Class,Mercedes-Benz,2002,2216
LeBaron,Chrysler,1994,3607
Swift,Suzuki,1993,4857
Prowler,Plymouth,1997,3102
SL-Class,Mercedes-Benz,1986,2806
Sportvan G30,Chevrolet,1993,2794
Safari,GMC,1998,2470
Tiburon,Hyundai,2006,2071
Montana,Pontiac,2000,3110
Caprice,Chevrolet,1992,5598
XK Series,Jaguar,2002,1762
Ram Van B350,Dodge,1992,4907
RAV4,Toyota,1996,1706
Silverado 1500,Chevrolet,2012,5822
2500,GMC,1998,3565
Esperante,Panoz,2005,2673
F350,Ford,2008,1455
300ZX,Nissan,1993,4210
Civic,Honda,2010,2441
R-Class,Mercedes-Benz,2012,3910
3500 Club Coupe,GMC,1993,2765
Expedition,Ford,2008,5942
Corvette,Chevrolet,1963,1083
4Runner,Toyota,1996,1230
Ram Van B350,Dodge,1992,5851
Eldorado,Cadillac,1997,2905
Excel,Mitsubishi,1988,2962
Q,Infiniti,1993,1828
Silverado,Chevrolet,2010,4353
Patriot,Jeep,2009,1227
300ZX,Nissan,1994,3322
Hombre,Isuzu,2000,4835
IS,Lexus,2006,2740
XC70,Volvo,2009,4522
Civic,Honda,2006,4342
GTO,Mitsubishi,1993,2077
S10 Blazer,Chevrolet,1994,3406
CTS,Cadillac,2004,4063
Discovery,Land Rover,2010,2606
750,BMW,2006,2561
Discovery,Land Rover,2007,4817
Avenger,Dodge,1996,5535
Thunderbird,Ford,1994,5095
Allante,Cadillac,1993,4309
Prizm,Geo,1992,2603
Envoy,GMC,2004,1117
Montana,Pontiac,2003,3024
Silverado 3500,Chevrolet,2003,4837
Explorer Sport,Ford,2001,1211
Cougar,Mercury,1967,5072
GTO,Pontiac,1970,4885
Range Rover,Land Rover,2011,5333
Discovery,Land Rover,1995,5698
Volt,Chevrolet,2012,5066
A4,Audi,2011,2774
Cougar,Mercury,1988,4137
M3,BMW,1995,2934
Ram 1500,Dodge,2008,5130
XJ Series,Jaguar,1992,5477
LeMans,Pontiac,1965,3531
Gallardo,Lamborghini,2003,1510
Altima,Nissan,2008,4438
Malibu,Chevrolet,2001,5597
Corvette,Chevrolet,1998,5512
Century,Buick,1985,1626
Mustang,Ford,1990,3557
SC,Lexus,2007,2681
Wrangler,Jeep,1998,3825
Ram Van 1500,Dodge,2000,5739
Caravan,Dodge,1992,2276
Grand Marquis,Mercury,2004,2004
APV,Chevrolet,1992,4934
Esperante,Panoz,2007,2767
E-Class,Mercedes-Benz,1987,4347
XJ,Jaguar,2011,5865
Neon,Dodge,2005,4364
9-7X,Saab,2006,5968
Voyager,Chrysler,2002,5633
Ram 2500,Dodge,1996,5148
Voyager,Plymouth,1992,2090
Countach,Lamborghini,1985,2376
Corolla,Toyota,2012,1328
Tribute,Mazda,2009,4300
NSX,Acura,1995,1342
QX,Infiniti,2009,4885
Town & Country,Chrysler,1994,5084
GTI,Volkswagen,1992,5122
M5,BMW,2003,2216
Neon,Dodge,1995,1459
E-Series,Ford,2010,2540
GS,Lexus,2008,5497
Town Car,Lincoln,1984,4883
tC,Scion,2012,2017
MX-5,Mazda,1993,1529
Silhouette,Oldsmobile,2004,2880
Caliber,Dodge,2008,2812
Scirocco,Volkswagen,1984,4517
Firefly,Pontiac,1989,4514
Terraza,Buick,2007,5511
164,Alfa Romeo,1993,1238
XJ Series,Jaguar,1994,2067
600,BMW,1957,2987
Five Hundred,Ford,2007,2989
Jimmy,GMC,1993,5809
Ram 3500,Dodge,2001,4059
V70,Volvo,1998,3996
5000S,Audi,1985,3598
Focus,Ford,2004,3353
STS,Cadillac,2011,2714
SJ,Suzuki,1989,3254
Aveo,Chevrolet,2006,3732
Savana 2500,GMC,2003,5099
Tundra,Toyota,2012,5251
Golf,Volkswagen,2000,1422
Taurus,Ford,2011,2535
Explorer Sport,Ford,2002,2058
Dakota,Dodge,1998,3150
Ram 2500,Dodge,2008,5374
Electra,Buick,1989,3646
LS,Lexus,2002,5339
A6,Audi,2002,5704
7 Series,BMW,2003,2037
Cougar,Mercury,2002,2885
62,Maybach,2011,3362
Journey,Dodge,2011,4137
Pathfinder,Nissan,2002,3669
Sentra,Nissan,2005,1447
Skylark,Buick,1988,3670
Mini,Austin,1959,3376
Outlook,Saturn,2010,5633
Spectra,Kia,2002,2397
Chariot,Mitsubishi,1989,5309
rio,Volkswagen,1998,4017
GS,Lexus,2001,3070
X5 M,BMW,2012,2631
Rio,Kia,2004,2352
9000,Saab,1997,2537
LeMans,Pontiac,1991,5482
Achieva,Oldsmobile,1998,5869
Mazdaspeed 3,Mazda,2009,2014
JX,Infiniti,2013,5604
Quest,Nissan,2001,4730
Stealth,Dodge,1992,4677
323,Mazda,1994,5281
G,Infiniti,2012,1422
Tredia,Mitsubishi,1984,3638
Q,Infiniti,2005,5815
XLR-V,Cadillac,2009,5853
Taurus,Ford,2006,2064
Venture,Chevrolet,2002,4147
RS4,Audi,2008,5039
Savana 3500,GMC,2010,2645
Civic,Honda,2002,5208
CX-7,Mazda,2010,5491
TundraMax,Toyota,2011,3503
F250,Ford,1997,2496
NSX,Acura,1996,1539
Galant,Mitsubishi,1994,4074
Cooper,MINI,2008,3618
Seville,Cadillac,1993,4330
Econoline E350,Ford,1993,4613
Cabriolet,Audi,1997,2806
XK Series,Jaguar,2004,1196
E-Class,Mercedes-Benz,1995,5782
ES,Lexus,2005,2542
Taurus,Ford,2001,1179
6 Series,BMW,2005,2762
